sampleID	measurement1	measurement2	measurement3
4-D47	12864039449	19857060890	43766873572
4-D4AM	1.04E+11	42382158437	99391616967
4-D4PM	25556017681	66893514529	33944271669
4-D5	9549961808	20230793375	20548821765
4-D50AM	14481735374	26209658718	25342325325
4-D50PM	13048880445	35979465570	31788819893
4-D51AM	18013803990	24487565874	26886225319
4-D51PM	26202918982	31840971678	60492526928
4-D52AM	54088804504	21159408234	46774099971
4-D52PM	16044130372	29199498130	16738184882
4-D53	15006289769	30280609833	34110912189
4-D54	50334717894	19727013275	48895593867
4-D57AM	1.49E+11	91696632166	1.56E+11
4-D57PM	1.12E+11	1.60E+11	1.73E+11
4-D58AM	77846474908	99298696538	1.41E+11
4-D58PM	62933220559	1.05E+11	85936997275
4-D59AM	22270402719	45259261671	45746192908
4-D59PM	46414490360	80364682028	1.38E+11
4-D6	21337215986	33453983628	41584577122
4-D60AM	91908488151	1.40E+11	84736251817
4-D60PM	55411591534	94722640849	66216319064
4-D61	58984297251	1.11E+11	59738327468
4-D62	2.02E+11	1.64E+11	1.99E+11
4-D63	28465244247	76653760711	38337520862
4-D64AM	64590185582	1.14E+11	76372881069
4-D64PM	65127613386	1.24E+11	69174064683
4-D7	48248300248	69480859055	76968984574
4-D8	12937352947	13096093697	8889158362
4-D9	2.18E+11	3.71E+11	2.64E+11
5-D0AM	33351031.02	67423006.31	54242119.09
5-D0PM	13459412401	16631393061	28172787245
5-D10	33579819137	55148828660	34566831753
5-D11	33396199933	1.27E+11	52029996947
5-D14	72715198433	26890153123	74614117665
5-D16	34488803075	78434509051	73337317078
5-D18	24657053717	62361979069	40124402702
5-D1AM	43522018667	72076358244	65995131267
5-D1PM	17530945215	36873057918	31526548558
5-D21AM	58869534986	81589693411	1.30E+11
5-D21PM	86548889944	1.21E+11	1.16E+11
5-D22AM	66262479721	87548671550	1.01E+11
5-D22PM	1.08E+11	1.14E+11	2.18E+11
5-D23AM	50902167578	73800022067	65516892651
5-D23PM	99297584729	1.51E+11	1.55E+11
5-D24	67251631547	67076539193	92769230453
5-D25	1.02E+11	62990602505	93715202414
5-D28AM	53236022759	86471523393	73849430075
5-D28PM	1.32E+11	2.22E+11	1.48E+11
5-D29AM	1.22E+11	4.74E+11	1.37E+11
5-D29PM	1.71E+11	1.40E+11	2.31E+11
5-D2AM	25229238548	36623836575	41948879499
5-D2PM	20429162438	41237030075	36660952990
5-D30AM	1.89E+11	3.05E+11	2.54E+11
5-D30PM	1.86E+11	2.24E+11	2.05E+11
5-D31AM	1.05E+11	58127971812	92657801694
5-D31PM	2.32E+11	2.68E+11	3.67E+11
5-D32	2.43E+11	2.71E+11	2.38E+11
5-D33	1.38E+11	1.63E+11	1.97E+11
5-D35AM	1.58E+11	87253038649	1.73E+11
5-D35PM	1.57E+11	1.86E+11	1.16E+11
5-D36AM	1.48E+11	2.25E+11	3.10E+11
5-D36PM	1.14E+11	2.13E+11	2.28E+11
5-D37AM	60472647460	1.07E+11	83133764232
5-D37PM	1.92E+11	78707621449	2.38E+11
5-D38	68054370912	1.16E+11	1.25E+11
5-D39	89687717446	1.36E+11	1.50E+11
5-D3AM	59342087000	1.06E+11	79637095244
5-D3PM	1.55E+11	1.79E+11	3.96E+11
5-D42AM	33889860205	62455455846	68739138660
5-D42PM	51420412455	68379725459	77187322819
5-D43AM	15692838968	21867469021	44402058014
5-D43PM	16236442755	27725949065	39465139120
5-D44AM	8036552517	25758695717	8900809219
5-D44PM	43572954971	44544390891	28834735317
5-D45AM	30440009382	14063468734	28017517528
5-D45PM	27871155876	39700816736	40442833708
5-D46	15169928209	35845203354	14530123297
5-D47	25829131096	14379176277	32303761416
5-D4AM	17358299591	25545492363	43499511892
5-D4PM	38673251332	65895561610	37613147946
5-D5	22472169832	13785678969	24994397240
5-D50AM	36875696704	14249895861	49453164235
5-D50PM	43652771551	46296033107	35068233038
5-D51AM	15916338472	9091024682	18636867282
5-D51PM	16176108123	39690892193	39415016569
5-D52AM	10543448733	21310077241	16658981557
5-D52PM	20704900836	44422474439	30161070619
5-D53	12481424097	14137014376	28133837842
5-D54	3367723349	4332127167	6642643304
5-D57AM	42111271892	57489534197	64072338696
5-D57PM	48594445604	90896970425	1.02E+11
5-D58AM	1.14E+11	2.01E+11	1.89E+11
5-D58PM	2.41E+11	3.00E+11	3.80E+11
5-D59AM	51234063163	1.17E+11	1.07E+11
5-D59PM	1.13E+11	1.06E+11	1.61E+11
5-D6	36009720653	63945938780	85070303504
5-D60AM	54900239765	1.04E+11	1.23E+11
5-D60PM	1.30E+11	72915135753	1.38E+11
5-D61	91537618935	1.43E+11	1.67E+11
5-D62	1.05E+11	1.17E+11	1.55E+11
5-D63	53811568832	59533375547	94474425787
5-D64AM	61864359020	1.18E+11	1.13E+11
5-D64PM	56401672660	1.12E+11	1.16E+11
5-D7	58510286696	78810305332	35397821057
5-D8	24516193362	54736700181	52844275939
5-D9	50886522820	64139017665	66217177234
inoculum1-5			
M2-D10-1A	41290040114	64235676192	83845565730
M2-D10-1B	41290040114	64235676192	83845565730
M2-D10-2A	41290040114	64235676192	83845565730
M2-D10-2B	41290040114	64235676192	83845565730
M2-D10-3A	41290040114	64235676192	83845565730
M2-D10-3B	41290040114	64235676192	83845565730
M2-D8-1A	1.31E+11	2.03E+11	1.11E+11
M2-D8-1B	1.31E+11	2.03E+11	1.11E+11
M2-D8-2A	1.31E+11	2.03E+11	1.11E+11
M2-D8-2B	1.31E+11	2.03E+11	1.11E+11
M2-D8-3A	1.31E+11	2.03E+11	1.11E+11
M2-D8-3B	1.31E+11	2.03E+11	1.11E+11
M2-D9-1A	59563252959	1.36E+11	1.28E+11
M2-D9-1B	59563252959	1.36E+11	1.28E+11
M2-D9-2A	59563252959	1.36E+11	1.28E+11
M2-D9-2B	59563252959	1.36E+11	1.28E+11
M2-D9-3A	59563252959	1.36E+11	1.28E+11
M2-D9-3B	59563252959	1.36E+11	1.28E+11
